Geo Point;objectid;noms;lieux;mode;prestat;adr_rivoli;adr_rgu;pmr;numquartier;horaires;proxi;qual_lun;qual_mar;qual_mer;qual_jeu;qual_ven;qual_sam;qual_dim;traj_sam;lun_mat_n;lun_mat_s;lun_apm_n;lun_apm_s;mar_mat_n;mar_mat_s;mar_apm_n;mar_apm_s;mer_mat_n;mer_mat_s;mer_apm_n;mer_apm_s;jeu_mat_n;jeu_mat_s;jeu_apm_n;jeu_apm_s;ven_mat_n;ven_mat_s;ven_apm_n;ven_apm_s;sam_a;sam_b;passages;mardi;traj_mardi;jeudi;traj_jeudi;mercredi;traj_mercredi;lundi;traj_lundi;vendredi;traj_vendredi;samedi;traj_samedi
48.1144720266, -1.68198149075;26;Salle / CITE;10 rue St. Louis;A;DV PF;8710;v.1015;NON;1;Horaires de la salle;Métro Ste Anne;COMPLET;COMPLET;;COMPLET;;;;0;11;0;0;0;0;0;7;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
48.100616764, -1.71303731958;57;Polyclinique LA SAGESSE;4 place Guénolé;PRIVE;PRIVE;8656;v.4669;OUI;9;Heures de la clinique;Bus n° 3.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48.1004206958, -1.69806901572;47;COURROUZE;La Courrouze;PROJET;PROJET;;;?;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48.1080144, -1.67971105845;27;HALLES CENTRALES;2 place Honoré Commeurec;M;DV PF;4480;v.1378;NON;1;de 7h à 19h sauf le dimanche;près bus, stationnement payant , métro République.;2COMPLETS;2COMPLETS;2COMPLETS;2COMPLETS;2COMPLETS;2COMPLETS;;13;0;6;0;0;0;7;0;0;0;9;0;0;0;6;0;0;6;6;0;0;2;0;6;Mar_C;4;Jeu_C;2;Mer_C;4;Lun_C;2;Ven_C;2;Sam_B;3
48.1033732763, -1.64889162603;64;Cimetière EST;85 Bd. Villebois Mareuil;M;DV PF;9101;v.26165;OUI;7;Horaires du Cimetière;Bus n° 11.;SOMMAIRE;COMPLET;SOMMAIRE;SOMMAIRE;COMPLET;SOMMAIRE;;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;18;0;7;Mar_C;8;Jeu_C;7;Mer_C;10;Lun_C;10;Ven_C;8;Sam_B;19
48.092680492, -1.66710790066;60;BIR-HAKEIM;2 place Bir-Hakeim;A;DV PF;0960;v.3470;OUI;8;6h à 23h;Bus n° 33.;SOMMAIRE;COMPLET;CONTROLE;;SOMMAIRE;;;19;0;0;0;4;0;0;0;7;0;4;0;10;0;0;0;4;0;0;0;0;0;0;5;Mar_C;15;Jeu_C;13;Mer_C;2;Lun_C;12;Ven_C;10;;
48.1093346274, -1.67524686448;96;TOULLIER;2 rue Toullier;A;DV PF;9270;v.1388;NON;1;6h à 23h;Bus n° 8.;SOMMAIRE;SOMMAIRE;SOMMAIRE;SOMMAIRE;SOMMAIRE;SOMMAIRE;;1;0;5;0;0;0;6;0;0;0;8;0;1;0;5;0;0;0;5;0;0;1;0;7;Mar_C;2;Jeu_C;1;Mer_C;3;Lun_C;1;;;;
48.0942875059, -1.66298604478;65;SOUVENIR;Place du Souvenir Face 13 E. d'Orves;A;DV PF;4480;v.3559;OUI;8;6h à 23h;Bus n° 8.;;COMPLET;CONTROLE;;COMPLET;CONTROLE;;0;0;0;0;3;0;0;0;6;0;3;0;9;0;0;0;0;0;0;0;7;0;0;5;Mar_C;14;Jeu_C;12;Mer_C;1-18;Lun_C;11;;;;
48.1383974897, -1.65401622177;77;Cimetière Saint LAURENT;Face 29 rue de St. Laurent;A;DV PF;8701;v.4377;OUI;5;Horaires du Cimetière;Bus n° 3, 9.;COMPLET;;COMPLET;;COMPLET;;;0;0;0;7;0;4;0;0;0;2;0;0;0;0;0;7;0;0;0;4;0;0;0;5;Mar_A;16;Jeu_A;17;;;;;;;;
48.1165892869, -1.65638518749;44;Jeanne d'ARC;5 Bd. Alexis Carrel Eglise;A;DV PF;0260;v.736;OUI;6;6h à 23h;Bus n° 3, 9.;;COMPLET;;COMPLET;;COMPLET;;13;0;0;0;0;0;0;2;0;0;0;2;0;0;0;1;0;0;0;0;0;14;0;4;Mar_A;10;Jeu_A;09;;;;;;;;
48.091341029, -1.68114242565;88;SARAH BERNHARDT;Square Sarah Bernhardt;M;DV PF;8979;v.26402;NON;12;Jour de marché;Bus n° 3.;;;CONTROLE;CONTROLE;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;7;0;0;0;0;0;0;2;;;Jeu_C;16;Mer_C;14;;;;;;
48.0835776473, -1.66060914398;56;Paul LAFARGUE;49 avenue des Pays Bas;A;DV PF;7305;v.3887;OUI;11;6h à 23h;Bus n° 33, 59.;;;;;;;;0;0;0;0;2;0;0;0;5;0;0;0;0;0;0;0;3;0;0;0;6;0;0;4;Mar_C;13;Jeu_C;11;;;;;;;;
48.1352704551, -1.63890000998;101;PATIS TATELIN;Rue du Patis Tatelin;MS;DV PF;;;OUI;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;Mar_A;14;Jeu_A;13;Mer_A;20;;;;;;
48.1078470443, -1.69337824331;22;Saint CYR quai;61 quai St. Cyr;A;DV PF;8861;v.1149;OUI;3;6h à 23h;Bus n° 53, 76.;COMPLET;SOMMAIRE;SOMMAIRE;COMPLET;SOMMAIRE;;;0;0;13;0;0;0;12;0;0;0;0;0;4;0;0;0;0;0;13;0;0;0;0;4;Mar_B;06;Jeu_B;08;Mer_B;07;Lun_B;9;Ven_B;07;Sam_B;13
48.1164590386, -1.69308767301;42;La TOUCHE Parc;Côté rue Maréchal Lyautey;A;DV PF;9265;v.26733;OUI;10;Horaires du Parc;Bus n° 2, métro Anatole France;;;;;;;;6;0;0;3;0;7;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;4;Mar_B;11;Jeu_B;10;Mer_B;10;Lun_B;11;;;;
48.1217064877, -1.71198153755;29;KENNEDY;Dalle Kennedy;A;DV PF;;;;10;6h;Station métro J.F. Kennedy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;Mar_B;15;Jeu_B;13;Mer_B;14;Lun_B;15;Ven_B;12;;
48.1088762601, -1.70774462748;51;Simone MORAND;1 Sq. Simone Morand;M;DV PF;9035;v.7445;OUI;3;6h à 23h;Bus n° 11.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;Mar_B;09;Jeu_B;09;;;;;;;;
48.1026051132, -1.67271832248;90;GARE Intérieur;Esplanade Fulgence Bienvenue;PRIVE;PRIVE;3415;v.27206;OUI;8;du L au S 6h25 à 22h50 et le Dimanche 10h à 21h50;Bus n° 2, 11. Parking Gare. Payant 40cts;PV;PV;PV;PV;PV;PV;PV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
48.1053645479, -1.67426905199;75;CHAMPS LIBRES;Cours des Alliers;PRIVE;PRIVE;0295;v.8240;OUI;1;"du M au V de 12h à 19h, sauf mardi  21h; les S et D 14h à 19h.";Bus métro Ch. De Gaulle et Gare + parking. Payant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48.1042812448, -1.67310805329;41;GARE;Place de la Gare;A;DV PF;3510;v.5011;OUI;2;6h à 23h;Métro, Gare , Bus n°1 - 2 - 11.;SOMMAIRE;2SOMMAIRES;SOMMAIRE;2SOMMAIRES;SOMMAIRE;2SOMMAIRES;;2;0;2;0;0;0;3;0;0;0;5;0;2;0;2;0;0;0;2;0;0;19;1;7;Mar_C;7;Jeu_C;5;Mer_C;7;Lun_C;5;Ven_C;5;Sam_B;6
48.1109618794, -1.67377102927;43;KLEBER_public;1 rue Kléber;M;DV PF;5210;v.27975;NON;2;Horaires du parking;Bus n° 3.;COMPLET;COMPLET;COMPLET;COMPLET;COMPLET;COMPLET;;0;6;0;0;0;0;0;0;0;7;0;0;0;6;0;0;0;10;0;0;0;0;0;4;Mar_A;07;;;Mer_A;06;Lun_A;6;Ven_A;06;;
48.1144301471, -1.68090207855;36;Sainte ANNE;Face au 15 place Ste.Anne;PROJET;PROJET;8870;v.1020;OUI;1;;;SOMMAIRE;SOMMAIRE;SOMMAIRE;SOMMAIRE;SOMMAIRE;SOMMAIRE;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;;Mar_B;04;Jeu_B;04;Mer_B;04;Lun_B;6;Ven_B;05;;
48.1067998241, -1.69557215041;105;Jean GUY;12 rue Jean Guy;A;DV PF;J080;v.28296;OUI;9;Horaires du parc;Bus n° 9.;COMPLET;;CONTROLE;;SOMMAIRE;;;24;0;9;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;9;0;0;24;0;3;Mar_B;07;;;Mer_B;08;Lun_B;10;Ven_B;08;;
48.1243097768, -1.65536792508;12;COURTELINE;Rue Courteline;M;DJ;J073;v.28378;?;5;Horaires du Parc;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Mar_A;13;Jeu_A;11;Mer_A;10;Lun_A;10;Ven_A;11;;
48.1185513848, -1.70937251838;106;BERRY;Parc du Berry;A;DV PF;;;OUI;10;6h à 23h;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;Jeu_B;15;Mer_B;15;Lun_B;16;;;Sam_B;15
48.1375245972, -1.64589295441;15;GAYEULLES  modélisme;rue Maurice AUDIN;M;DJ;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Mer_A;14;Lun_A;14;Ven_A;14;;
48.1211373023, -1.71090511447;28;VILLEJEAN Bibliotheque;à l'intérieur bibliothèque;PRIVE;PRIVE;;;;10;;Station métro J.F. Kennedy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48.1053509332, -1.68514412856;913;Fontaine Abélard;Rue Pierre Abélard;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Lun_C;7;;;;
48.1112077763, -1.67988822219;907;Fontaine Mairie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Lun_B;2;;;;
48.1235500574, -1.65994658206;97;BERNANOS;Place G. Bernanos sud;A;DV PF;3700;v.24768;OUI;5;6h à 23h;Bus n° 1, 30, 70;;COMPLET;;COMPLET;;COMPLET;;15;0;0;10;0;0;0;5;0;0;0;5;0;0;0;4;0;0;0;0;0;16;0;4;;;Jeu_A;12;Mer_A;11;Lun_A;9;Ven_A;12;;
48.1077890072, -1.65890440465;20;ROBIDOU;Face 28 rue Bertrand Robidou;A;DV PF;0900;v.1631;OUI;2;6h à 23h;Bus n° 33, 2.;;;;;;;;0;0;0;0;12;0;1;0;1;0;0;0;0;0;13;0;11;0;0;0;1;0;0;6;Mar_A;1+19;Jeu_A;08;;;;;;;;
48.1152616568, -1.67712333813;69;HOCHE;Face au 10 place Hoche et sous-terrain;PRIVE;PRIVE;4460;v.1274;OUI;1;8h à 1h45;Bus n° 5, 9. sous-terrain payant, 20ct;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
48.0894333237, -1.64507648383;13;HAUTES OURMES Parc;Parc des Hautes Ourmes;M;DJ;J079;v.28263;?;11;Horaires du Parc;Bus n° 8, 33.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Mar_C;11;Jeu_C;10;;;;;;;;
48.1116120439, -1.67994098149;71;MAIRIE centrale;Place de la Mairie;M;PRIVE;2660;v.1055;NON;1;du L au V 8h30 à 17h, le S de 9h30 à 12h;Bus n° 15, 9, 2, 1. Métro République. Gratuit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48.0886679943, -1.65991169589;2;Le TRIANGLE;1 bd de Yougoslavie;PRIVE;PRIVE;9735;v.24517;?;11;Horaires de l'établissement;Bus n° 32, 33, 61. Métro Le Blosne;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48.1144716845, -1.67711344278;52;Musée BEAUX ARTS HOCHES;32 rue Hoches;PRIVE;PRIVE;4470;v.1304;?;1;;Bus n° 8.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48.1316149192, -1.64219329753;10;GAYEULLES Parc;"Parc des Gayeuilles SUD ""Tatelin""";M;DJ;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Mer_A;17;;;;;;
48.1096208591, -1.6749677848;30;Musée BEAUX ARTS ZOLA;20 quai Emile Zola;PRIVE;PRIVE;;;;1;;à l'intérieur;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48.0873141392, -1.6427191226;508;POTERIE Métro;Rue Émile Littré;PROJET;PROJET;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48.1193336794, -1.70738836398;34;VILLEJEAN BOURGOGNE;Rue de Bourgogne;A;DV PF;1145;v.25900;OUI;10;6h à 23h;Bus n° 31.;COMPLET;SOMMAIRE;COMPLET;SOMMAIRE;CONTROLE;SOMMAIRE;;0;0;0;4;0;8;0;0;0;0;0;10;0;0;0;0;0;4;0;7;0;0;0;4;Mar_B;14;Jeu_B;14;Mer_B;13;Lun_B;14;Ven_B;01+17;Sam_B;14
48.1132173625, -1.68276510139;70;Haut des LICES 1 & 2;Place du Haut des LICES;A;DV PF;5710;v.1027;?;1;n1 Jours de marchés & n2 TLJ;"n1 payant et n2 gratuit; parking";;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;Mar_B;03;Jeu_B;03;Mer_B;03;Lun_B;4;Ven_B;04;Sam_B;21
48.1316835223, -1.70280757952;49;BEAUREGARD Parc;Mail Emmanuel Le Ray;A;DV PF;J014;v.24991;OUI;10;6h à 23h;Bus n° 4, 30.;COMPLET;;COMPLET;;COMPLET;;;0;0;0;6;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;Mar_B;16;;;Mer_B;16;;;Ven_B;13;;
48.0934341258, -1.74590427641;84;APIGNE Resto;Parking 2 Chemin rural 72;MS;DV PF;V120;v.4336;OUI;9;TLJ;Ligne ApiBus Printemps / Été;;;;;;;;0;0;11;0;0;0;10;0;0;0;13;0;0;0;10;0;0;0;11;0;0;23;0;6;;;Jeu_B;18;Mer_B;19;Lun_B;19;Ven_B;16;;
48.0921613589, -1.73938982602;85;APIGNE étang;Parking 1 Chemin rural 72;MS;DV PF;V120;v.4336;OUI;9;TLJ;Ligne ApiBus Printemps / Été;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;6;;;Jeu_B;17;Mer_B;18;Lun_B;18;Ven_B;15;;
48.1111306998, -1.69862163986;33;Parc St CYR;57 rue Papu;A;DV PF;;;OUI;3;Horaires du parc;Bus n° 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;Mar_B;08;Jeu_B;07;Mer_B;09;Lun_B;8;Ven_B;09;;
48.1296575133, -1.69858066085;102;"Eugène AULNETTE ""C.C.""";Rue Tanguy PRIGENT;A;DV PF;;;OUI;10;6h à 23h;Bus n° 4.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;Mar_B;17;;;Mer_B;17;;;Ven_B;14;;
48.1116126079, -1.67467602015;18;Saint-GEORGES;Jardin St. Georges;M;DJ;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Mar_B;01;Jeu_B;01;Mer_B;01;Lun_B;1;Ven_B;02;;
48.1221390527, -1.6543292008;50;MAUREPAS Parc;Face 16 bd. Raymond Poincaré;A;DV PF;8180;v.28308;OUI;5;Horaires du Parc;Bus n° 1, 3.;COMPLET;;COMPLET;;COMPLET;SOMMAIRE;;14;0;0;0;0;0;0;4;0;0;0;4;0;0;0;3;0;0;0;1;0;15;0;5;Mar_A;12;Jeu_A;10;Mer_A;09;Lun_A;11;Ven_A;10;;
