"ID","Nom","Adresse","Commune","Pôle","Type","Automatique","Acces_PMR","Infos_horaires","location"
"SP_NM_12_001","Cellier","rue du Cellier (parking face à l'école)","Mauves-sur-Loire","Erdre et Loire","","","","","[ 47.2967550262871 , -1.39247410410928]"
"SP_NM_13_002","Vieux Doulon","rue de Rivière n°37  (place du Vieux Doulon)","Nantes","Erdre et Loire","Mobilier","1","1","journée","[ 47.2349401485852 , -1.50276859414071]"
"SP_C_13_033","Marrière","rue de la marrière n°27 - place du marché","Nantes","Erdre et Loire","Bâti","0","0","en journée","[ 47.2343938752821 , -1.53285244350403]"
"SP_C_13_002","Grand Blottereau","parc du grand blottereau","Nantes","Erdre et Loire","Mobilier","1","1","restreints","[ 47.2274986071001 , -1.50877933912959]"
"SP_C_05_001","Place du marché","Rue André Maurois (place du marché)","Carquefou","Erdre et Loire","","","","restreints","[ 47.2962282602878 , -1.49139177009538]"
"SP_NM_05_001","Place Le Corvec","Place Le Corvec","Carquefou","Erdre et Loire","","1","1","restreints","[ 47.2965300571601 , -1.4934256482368]"
"SP_C_13_003","Beaujoire (maison de la Rose)","parc floral de la Beaujoire","Nantes","Erdre et Loire","Bâti","","1","","[ 47.2625645513395 , -1.53076311416444]"
"SP_C_13_004","Beaujoire (vallon)","parc floral de la Beaujoire","Nantes","Erdre et Loire","Bâti","0","0","","[ 47.2618953206344 , -1.53460443859609]"
"SP_C_13_005","Chantrerie","Parc de la Chantrerie","Nantes","Erdre et Loire","Bâti","0","","","[ 47.2880421820774 , -1.52274532606656]"
"SP_C_13_006","Plessis Tison","Parc du Plessis Tison","Nantes","Erdre et Loire","Mobilier","1","1","","[ 47.2353479918952 , -1.53555299703359]"
"SP_NM_08_001","Eglise","Place de l'Eglise","La Chapelle-sur-Erdre","Erdre et Cens","Bâti","1","1","24/24","[ 47.2992124794165 , -1.55005782168864]"
"SP_NM_22_001","Gendarmerie","Place de la Gendarmerie","Sautron","Erdre et Cens","Mobilier","0","1","24/24","[ 47.2625792328604 , -1.6727998481161]"
"SP_C_14_001","Jeanne d’Arc","Place Jeanne d'Arc - Le Bourg","Orvault","Erdre et Cens","Bâti","0","1","24/24","[ 47.2705688535784 , -1.62319175906487]"
"SP_NM_14_001","Bout des Pavés","Place Bout des Pavés","Orvault","Erdre et Cens","Mobilier","1","1","restreints","[ 47.2532769221593 , -1.57648352562549]"
"SP_C_14_002","Petit Chantilly","rue Kindia - Le Petit Chantilly","Orvault","Erdre et Cens","Mobilier","0","0","24/24","[ 47.2526364561662 , -1.59631296898079]"
"SP_C_13_007","Vallée du Cens (Grotte)","vallée du cens","Nantes","Erdre et Cens","","","","","[ 47.2434041846086 , -1.56934660915782]"
"SP_NM_13_004","Bourgeonnière","rue d'assise","Nantes","Erdre et Cens","Mobilier","1","1","restreints","[ 47.2535618522742 , -1.56035224228016]"
"SP_C_13_008","Vallée du Cens (camping)","vallée du cens","Nantes","Erdre et Cens","","","","","[ 47.2424383596741 , -1.56701446155703]"
"SP_NM_06_001","Place des cités","Place des Cités","Couëron","Loire Chézine","Mobilier","","","","[ 47.2143452022477 , -1.68235350185828]"
"SP_NM_06_002","Epinettes","rue Alexandre Olivier - Epinettes","Couëron","Loire Chézine","Bâti","0","0","24/24","[ 47.2156318890403 , -1.72479448617054]"
"SP_NM_06_004","Charles De Gaulle","place Charles de Gaulle","Couëron","Loire Chézine","Bâti","0","0","24/24","[ 47.2111589065519 , -1.72749549896159]"
"SP_NM_07_001","Joseph Tahet","rue Joseph Tahet","Indre","Loire Chézine","Bâti","0","0","24/24","[ 47.193248886718 , -1.64709926489558]"
"SP_C_07_001","Quai d’Indre","quai d'Indre place J. Bordais marché le dim.","Indre","Loire Chézine","Mobilier","0","1","journée","[ 47.1977903497235 , -1.67376706998005]"
"SP_NM_17_001","Marcel Paul","Tram ligne 3","Saint-Herblain","Loire Chézine","Mobilier","0","1","journée","[ 47.2219280219297 , -1.63927863771579]"
"SP_NM_17_002","Lieutenant M1llie","rue du lieutenant m1llie","Saint-Herblain","Loire Chézine","Bâti","0","0","24/24","[ 47.2115704139931 , -1.65359198849273]"
"SP_C_17_002","Branchoire","avenue Branchoire","Saint-Herblain","Loire Chézine","Bâti","0","0","restreints","[ 47.2183976427514 , -1.60806749778069]"
"SP_NM_13_005","Zola","place Emile Zola","Nantes","Nantes Ouest","Bâti","0","1","restreints","[ 47.2135900046552 , -1.58689325701635]"
"SP_NM_13_006","Mairie Chantenay","Place de la Liberté","Nantes","Nantes Ouest","Mobilier","0","0","journée","[ 47.2067635604654 , -1.58792608975112]"
"SP_C_13_009","Civelles","rue des Civelles","Nantes","Nantes Ouest","Bâti","0","1","24/24","[ 47.1994734703664 , -1.5927835731453]"
"SP_NM_13_007","Garennes","rue des Garennes","Nantes","Nantes Ouest","Bâti","0","0","24/24","[ 47.2019266280916 , -1.57892821431067]"
"SP_NM_13_008","René Bouhier","rue de la Brasserie","Nantes","Nantes Ouest","Mobilier","1","1","journée","[ 47.2092763473293 , -1.57123120436148]"
"SP_NM_13_009","Canclaux","place Canclaux","Nantes","Nantes Ouest","Mobilier","0","0","journée","[ 47.2146595270628 , -1.57477040504501]"
"SP_NM_13_010","Dervallières","place des Dervallières","Nantes","Nantes Ouest","Mobilier","1","1","restreints","[ 47.2238186770592 , -1.59808821663716]"
"SP_NM_13_011","Macé","Boulevard de la Liberté  Place Macé","Nantes","Nantes Ouest","Mobilier","1","1","restreints","[ 47.1994883164344 , -1.58917683647408]"
"SP_C_13_010","Maurice Schwob","square Maurice Schwob","Nantes","Nantes Ouest","","0","","","[ 47.2002988655197 , -1.58176945128172]"
"SP_NM_13_029","Petite Hollande","quai de la Fosse","Nantes","Nantes Loire","Bâti","0","0","en journée","[ 47.2110607447429 , -1.56082664381794]"
"SP_NM_13_030","Square Lebé","Square Lebé - Place Newton","Nantes","Nantes Loire","Bâti","1","1","en journée","[ 47.2160002423212 , -1.56364515123737]"
"SP_NM_13_031","Cassegrain","rue Léopold Cassegrain","Nantes","Nantes Loire","Mobilier","1","1","journée","[ 47.219262661263 , -1.5587931829209]"
"SP_NM_13_032","Enfants Nantais","place des enfants nantais","Nantes","Nantes Loire","Mobilier","1","0","journée","[ 47.2287894722674 , -1.54310426691244]"
"SP_NM_13_033","Gabriel Trarieux","place Gabriel Trarieux","Nantes","Nantes Loire","Mobilier","1","0","journée","[ 47.2258589857588 , -1.52280834557691]"
"SP_NM_13_030","Baco","allée de la Maison Rouge BACO","Nantes","Nantes Loire","Mobilier","1","1","journée","[ 47.2128175153783 , -1.55254762147452]"
"SP_NM_13_031","Calvaire","rue du Calvaire n°11","Nantes","Nantes Loire","Mobilier","1","1","journée","[ 47.2152499245917 , -1.56133000110399]"
"SP_NM_13_032","Armand Brossard","rue Armand Brossard","Nantes","Nantes Loire","Mobilier","1","1","journée","[ 47.2170975563696 , -1.55622963364689]"
"SP_NM_13_033","Bretagne","place Bretagne","Nantes","Nantes Loire","Mobilier","1","1","journée","[ 47.2172579438702 , -1.55948009692146]"
"SP_C_13_011","Jardin des plantes Nord","jardin des plantes","Nantes","Nantes Loire","Bâti","0","1","en journée","[ 47.2205170959908 , -1.54456688020931]"
"SP_C_13_012","Cambronne","cours Cambronne","Nantes","Nantes Loire","Bâti","0","1","en journée","[ 47.2110964960782 , -1.56376366502621]"
"SP_C_13_013","L1s Bureau","square L1s Bureau","Nantes","Nantes Loire","Bâti","0","","en journée","[ 47.2127907688621 , -1.5647992137733]"
"SP_C_13_014","Noë Mitrie","parc de la Noë Mitrie","Nantes","Nantes Loire","Bâti","0","","en journée","[ 47.2269939173847 , -1.52710793103935]"
"SP_C_13_015","Vertais","square Vertais","Nantes","Nantes Loire","Bâti","0","","en journée","[ 47.2020491752722 , -1.54655828098108]"
"SP_C_13_016","Jardin des cinq sens","jardin des cinq sens","Nantes","Nantes Loire","Bâti","0","","en journée","[ 47.2069237282868 , -1.53311347965413]"
"SP_NM_13_016","Parc des chantiers- Bar de la Branche","Parc des chantiers- Bar de la Branche","Nantes","Nantes Loire","Bâti","0","1","en journée","[ 47.2062333816928 , -1.56481030281344]"
"SP_NM_13_017","Parc des chantiers - Les Nefs","Parc des chantiers - Les Nefs","Nantes","Nantes Loire","Bâti","0","1","en journée","[ 47.2052746937977 , -1.56466112957655]"
"SP_NM_13_018","Parc des chantiers - Station Prouvé","Parc des chantiers - Station Prouvé","Nantes","Nantes Loire","Bâti","0","1","en journée","[ 47.2051557694397 , -1.56737509578747]"
"SP_C_13_017","Jardin des plantes Sud","jardin des plantes","Nantes","Nantes Loire","Bâti","0","1","en journée","[ 47.2188274242079 , -1.54098073924425]"
"SP_NM_13_019","Emile Fritsch","place Emile Fritsch","Nantes","Nantes Ouest","Mobilier","1","1","journée","[ 47.2288298201608 , -1.56619350364038]"
"SP_NM_13_020","Cimetière Pelleterie","rue de la Pelleterie","Nantes","Nantes Ouest","Bâti","1","","24/24","[ 47.224487913552 , -1.57020023210618]"
"SP_NM_13_021","L1s Feuillade","square L1s Feuillade","Nantes","Nantes Ouest","Mobilier","1","1","journée","[ 47.2303488158409 , -1.58592716957707]"
"SP_NM_13_022","Capucins","rue Noire - square Capucins","Nantes","Nantes Ouest","Mobilier","1","1","journée","[ 47.2251122614612 , -1.56319871188901]"
"SP_NM_13_023","Piscine Dervallières","rue professeur Dubuisson","Nantes","Nantes Ouest","Mobilier","1","1","journée","[ 47.2274787850822 , -1.59138915917936]"
"SP_NM_13_024","Viarme","place Viarme  face n°3","Nantes","Nantes Ouest","Mobilier","1","1","restreints","[ 47.2204112289093 , -1.56185137461257]"
"SP_NM_13_025","Américains","Boulevard des Américains","Nantes","Nantes Ouest","Mobilier","1","1","journée","[ 47.2327954941687 , -1.57674424164196]"
"SP_C_13_018","Jardin d'enfants de Procé","jardin d'enfants de Procé","Nantes","Nantes Ouest","Bâti","0","","","[ 47.2224040424727 , -1.58197343101717]"
"SP_C_13_019","Procé Vallon","parc de Procé Vallon","Nantes","Nantes Ouest","","0","1","","[ 47.2235568442375 , -1.58330065600502]"
"SP_C_13_020","Procé Chateau","parc de Procé Château","Nantes","Nantes Ouest","Bâti","0","","","[ 47.223136236766 , -1.58136598775862]"
"SP_C_13_021","Gaudinière Haut","parc de la Gaudinière haut","Nantes","Nantes Ouest","Mobilier","1","1","","[ 47.2411686325569 , -1.57710550365362]"
"SP_C_13_022","Ile de Versailles","Ile de Versailles","Nantes","Nantes Ouest","Bâti","0","1","","[ 47.225270478295 , -1.55371716601873]"
"SP_NM_13_026","La Halluchère","PEM La Haluchère","Nantes","Erdre et Loire","Mobilier","1","0","journée","[ 47.2486596406107 , -1.52239020890825]"
"SP_C_12_001","Eglise","Derrière l'église","Mauves-sur-Loire","Erdre et Loire","","","","","[ 47.2951988547925 , -1.39286533092106]"
"SP_NM_13_027","Tonelliers","Place des Tonelliers","Nantes","Erdre et Loire","Mobilier","0","0","","[ 47.269500798695 , -1.51780773830689]"
"SP_NM_13_029","Parking Tournefort","Rue Tournefort","Nantes","Nantes Ouest","Bâti","0","1","en journée","[ 47.2211674028578 , -1.5514622432977]"
"SP_C_13_023","Amiral Halgan","Square de l'Amiral Halgan","Nantes","Nantes Loire","Bâti","0","0","en journée","[ 47.2171778591698 , -1.55438473971654]"
"SP_C_13_024","Crapa","Crapa Beaulieu Parking","Nantes","Nantes Loire","Bâti","1","1","24/24","[ 47.2103577905182 , -1.52336922882544]"
"SP_C_13_025","Crapaudine","Parc potager de la Crapaudine","Nantes","Loire Sèvre Vignoble","Bâti","","1","en journée","[ 47.1908975024982 , -1.5297221084211]"
"SP_C_13_026","Faustin Helie","Square Faustin Hélie","Nantes","Nantes Loire","Bâti","0","1","en journée","[ 47.2177146718177 , -1.56248778376616]"
"SP_C_13_027","Gaudinière Bas","parc de la Gaudinière bas","Nantes","Nantes Ouest","Bâti","0","0","en journée","[ 47.2465428179967 , -1.57825267295222]"
"SP_C_13_028","Potager tropical","parc du grand blottereau","Nantes","Erdre et Loire","Bâti","0","","en journée","[ 47.2266524293868 , -1.51227510942117]"
"SP_C_13_029","Jean Baptiste Barre","square Jean Baptiste Barré","Nantes","Nantes Loire","Bâti","0","0","en journée","[ 47.2226964729384 , -1.52768342121573]"
"SP_C_13_030","Jean Le Gigant","square Jean Le Gigant","Nantes","Nantes Ouest","Bâti","0","0","en journée","[ 47.2043291674751 , -1.59354973264737]"
"SP_C_13_031","Oblates","parc des Oblates","Nantes","Nantes Ouest","Bâti","0","1","en journée","[ 47.2006574903376 , -1.5839366442963]"
"SP_C_13_032","Ile Versailles Capitainerie","Ile de Versailles","Nantes","Nantes Ouest","Bâti","0","1","en journée","[ 47.2252713684107 , -1.55369078770185]"
"SP_NM_13_028","Pirmil","à côté du 11 rue Esnoult des Châtelets","Nantes","Loire Sèvre Vignoble","Bâti","0","0","","[ 47.196458125064 , -1.54114446382891]"
"SP_C_17_003","Denis Forestier","place Denis Forestier","Saint-Herblain","Loire Chézine","à la turque/urinoirs","","0","Nantes Métropole","[ 47.2094437080825 , -1.61282701891088]"
"SP_C_02_001","Marché","marché (dans bâtiment)","Bouaye","Sud-Ouest","Bâti","0","1","restreints","[ 47.1413567879381 , -1.68881374199635]"
"SP_NM_02_001","Eglise","rené Vinet (Eglise)","Bouaye","Sud-Ouest","Bâti","0","0","24/24","[ 47.1445322159992 , -1.69329004055767]"
"SP_NM_19_001","Eglise","église","Saint-Léger-les-Vignes","Sud-Ouest","Bâti","0","0","restreints","[ 47.1349131478556 , -1.73293335372255]"
"SP_NM_09_001","Eglise","place de l'Eglise","La Montagne","Sud-Ouest","Mobilier","1","1","restreints","[ 47.189950589369 , -1.68370684991348]"
"SP_NM_09_002","Similien Guérin","Place Similien Guérin","La Montagne","Sud-Ouest","Mobilier","1","1","restreints","[ 47.1878812533845 , -1.68337966299872]"
"SP_NM_18_001","Mairie","local face à la mairie","Saint-Jean-de-Boiseau","Sud-Ouest","Bâti","0","1","restreints","[ 47.1957187825113 , -1.72496219728354]"
"SP_NM_10_001","Canal","Route de la Chauffetière","Le Pellerin","Sud-Ouest","Mobilier","1","1","restreints","[ 47.2061867666696 , -1.78556903413688]"
"SP_NM_10_002","L’Herminier","place du commandant l'Herminier","Le Pellerin","Sud-Ouest","Bâti","0","0","restreints","[ 47.2030285566745 , -1.7551368848215]"
"SP_C_10_001","Halles","à l'arrière des halles (situées rue du Dr Sourdille)","Le Pellerin","Sud-Ouest","Bâti","0","","","[ 47.2012451258297 , -1.75513273852254]"
"SP_C_04_001","Mairie","mairie","Brains","Sud-Ouest","Bâti","0","","","[ 47.169606662585 , -1.72236087412763]"
"SP_C_04_002","Eglise","Eglise","Brains","Sud-Ouest","Bâti","0","","","[ 47.1686295224922 , -1.72043759541334]"
"SP_NM_03_001","Freinet","Rue Célestin Freinet","Bouguenais","Sud-Ouest","Mobilier","1","1","restreints","[ 47.1807661934522 , -1.58854385914105]"
"SP_NM_03_002","Eglise","place de l'église au 7 bis","Bouguenais","Sud-Ouest","Bâti","0","0","24/24","[ 47.1790655037078 , -1.62375737387148]"
"SP_NM_03_003","Neustrie","Station Neustrie Tram","Bouguenais","Sud-Ouest","Bâti","0","","en journée","[ 47.1769998188308 , -1.59307617084829]"
"SP_C_03_001","Roche Ballue","Roche Ballue","Bouguenais","Sud-Ouest","Mobilier","0","0","restreints","[ 47.1842123665492 , -1.65444662050528]"
"SP_NM_03_004","Leclerc","Les Couëts : rue Maréchal Leclerc","Bouguenais","Sud-Ouest","Bâti","0","0","24/24","[ 47.1853105827462 , -1.5870802206819]"
"SP_C_03_003","Les jardins familiaux","Les jardins familiaux","Bouguenais","Sud-Ouest","Bâti","0","0","","[ 47.1677644264054 , -1.62288200246808]"
"SP_C_03_002","Champ Toury","Champ Toury","Bouguenais","Sud-Ouest","Bâti","0","0","en journée","[ 47.177349653857 , -1.62937242933986]"
"SP_NM_13_001","Joliot curie","69 boulevard Joliot Curie","Nantes","Loire Sèvre Vignoble","Bâti","0","0","","[ 47.1942159314792 , -1.5287989913016]"
"SP_C_15_001","Eglise","Place Roger Salengro  rue de Chupiet","Rezé","Loire Sèvre Vignoble","Bâti","0","0","24/24","[ 47.1846939937215 , -1.54759831529334]"
"SP_C_15_002","Pays de Retz","place du Pays de Retz","Rezé","Loire Sèvre Vignoble","Bâti","0","0","en journée","[ 47.1848696885941 , -1.562394809477]"
"SP_C_15_003","8 mai","place du 8 Mai 1945","Rezé","Loire Sèvre Vignoble","Bâti","1","0","en journée","[ 47.1891001039323 , -1.55155146434883]"
"SP_C_15_004","Balinière","Balinière","Rezé","Loire Sèvre Vignoble","","","","restreints","[ 47.1835502124466 , -1.55262697722405]"
"SP_C_15_005","La Robinière","CLSH la Robinière","Rezé","Loire Sèvre Vignoble","Bâti","","","restreints","[ 47.1636165228539 , -1.53177824945554]"
"SP_C_15_006","Cimetière St Pierre","Cimetière St Pierre","Rezé","Loire Sèvre Vignoble","","","","restreints","[ 47.1905078077965 , -1.5650322849317]"
"SP_C_15_007","Cimetière St Paul","Cimetière St Paul","Rezé","Loire Sèvre Vignoble","","","","restreints","[ 47.1847104484583 , -1.54352670741723]"
"SP_C_15_008","Parc de la Morinière","Parc de la Morinière","Rezé","Loire Sèvre Vignoble","","","","restreints","[ 47.1830442310594 , -1.53188936779172]"
"SP_C_15_009","Hôtel de Ville","Hôtel de Ville – Grig0 Dumoulin","Rezé","Loire Sèvre Vignoble","","","0","restreints","[ 47.1915184921957 , -1.56952629261983]"
"SP_C_15_010","Parc Chêne Gala","Parc Chêne Gala","Rezé","Loire Sèvre Vignoble","Mobilier","","","24/24","[ 47.1877183941908 , -1.53754770038832]"
"SP_C_15_011","Stade Robinière","Stade Robinière","Rezé","Loire Sèvre Vignoble","","","","restreints","[ 47.1647178098502 , -1.53204691980543]"
"SP_C_15_012","Cimetière Classerie","Cimetière Classerie","Rezé","Loire Sèvre Vignoble","","","","restreints","[ 47.1717283803808 , -1.55831922900723]"
"SP_C_15_013","Stade Léo lagrange","Trocardière, stade Léo Lagrange","Rezé","Loire Sèvre Vignoble","","","","restreints","[ 47.1817949613664 , -1.57022297073413]"
"SP_NM_20_001","Poste","place Cambronne","Saint-Sébastien-sur-Loire","Loire Sèvre Vignoble","Bâti","0","0","24/24","[ 47.2074361214992 , -1.50514404023303]"
"SP_NM_20_002","Eglise","place de l'Eglise","Saint-Sébastien-sur-Loire","Loire Sèvre Vignoble","Mobilier","1","1","journée","[ 47.2084138753702 , -1.50364140031247]"
"SP_NM_20_003","Liberté","place de la Liberté- Place Alfred Radigois","Saint-Sébastien-sur-Loire","Loire Sèvre Vignoble","Bâti","0","1","restreints","[ 47.1935509230788 , -1.51773095275049]"
"SP_NM_01_001","Eglise","Place St Brice","Basse-Goulaine","Loire Sèvre Vignoble","Mobilier","1","1","journée","[ 47.2150160899479 , -1.46531932254415]"
"SP_C_01_001","Salle Zodiaque","Rue de la Poste","Basse-Goulaine","Loire Sèvre Vignoble","","","1","","[ 47.2173721110801 , -1.46597579162715]"
"SP_NM_11_001","Face Mairie","rue de l'Elan face à la mairie","Les Sorinières","Loire Sèvre Vignoble","","","1","journée","[ 47.148315904221 , -1.53045143123094]"
"SP_NM_24_001","Garnier","Rte Sorinières/ A,garnier  le Chêne","Vertou","Loire Sèvre Vignoble","","","1","","[ 47.1652324526394 , -1.4839848939869]"
"SP_C_24_001","Pierre Percée","Rue Pierre Percée  chemin du champ de courses","Vertou","Loire Sèvre Vignoble","","","1","24/24","[ 47.1582216246082 , -1.47240648550308]"
"SP_C_24_002","Cale Beautour","Rue de la Cale de Beautour","Vertou","Loire Sèvre Vignoble","","","1","journée","[ 47.1709208087693 , -1.51088513669327]"
"SP_C_24_003","Capitainerie","Quai de Chaussée des Moines /Baillorges","Vertou","Loire Sèvre Vignoble","","","1","24/24","[ 47.1678551158433 , -1.47992234389478]"
"SP_NM_24_002","Eglise","Impasse G1n  St Martin","Vertou","Loire Sèvre Vignoble","","","1","journée","[ 47.1638439165467 , -1.47206679265198]"
"SP_NM_24_003","Portillon","Lieu-dit Portillon","Vertou","Loire Sèvre Vignoble","Bâti","0","1","24/24","[ 47.1493884345102 , -1.46825355710177]"
"SP_NM_21_001","11 novembre","Place du 11 Novembre","Sainte-Luce-sur-Loire","Erdre et Loire","","","","","[ 47.2492980554648 , -1.48672336617472]"
"SP_NM_21_002","Marché","Place du Marché","Sainte-Luce-sur-Loire","Erdre et Loire","","","1","","[ 47.2498794405798 , -1.48385499949354]"
"SP_C_21_001","Ile Clémentine","Ile Clémentine (bord de Loire)","Sainte-Luce-sur-Loire","Erdre et Loire","","","1","","[ 47.2443251085474 , -1.46086918880616]"
"SP_C_21_002","Plessis","Ch. des Claudix (plan d'eau du Plessis)","Sainte-Luce-sur-Loire","Erdre et Loire","","","","","[ 47.2445237680788 , -1.47450553357271]"
"SP_NM_23_001","Eglise","Place de la République / place de l'église","Thouaré-sur-Loire","Erdre et Loire","Bâti","0","0","24/24","[ 47.2673084420546 , -1.44085570593544]"
"SP_NM_23_002","Cimetière communautaire","Cimetière communautaire","Thouaré-sur-Loire","Erdre et Loire","Bâti","0","0","restreints","[ 47.2662951813781 , -1.43824383903739]"
