Geo Point;Geo Shape;NOM;SOURCE;GID;CODE_INSEE;SOUR_GEOM;MODELE
47.4671895846, -0.536349984602;"{""type"": ""Point"", ""coordinates"": [-0.536349984602176, 47.4671895846226]}";Sanitaires Publics;Angers Loire Métropole - Direction Environnement Déchets Propreté;22;49007;ORTHOPHOTO;SAGELEC
47.4777315877, -0.577180475926;"{""type"": ""Point"", ""coordinates"": [-0.577180475926462, 47.4777315876609]}";Sanitaires Publics;Angers Loire Métropole - Direction Environnement Déchets Propreté;27;49007;ORTHOPHOTO;SAGELEC
47.4650494413, -0.557628087623;"{""type"": ""Point"", ""coordinates"": [-0.557628087622758, 47.4650494413285]}";Sanitaires Publics;Angers Loire Métropole - Direction Environnement Déchets Propreté;36;49007;ORTHOPHOTO;SAGELEC
47.4626769742, -0.552661982874;"{""type"": ""Point"", ""coordinates"": [-0.552661982873976, 47.462676974227]}";Sanitaires Publics;Angers Loire Métropole - Direction Environnement Déchets Propreté;40;49007;ORTHOPHOTO;FRANCIOLI
47.4789937041, -0.534212328038;"{""type"": ""Point"", ""coordinates"": [-0.534212328037526, 47.4789937041364]}";Sanitaires Publics;Angers Loire Métropole - Direction Environnement Déchets Propreté;44;49007;ORTHOPHOTO;SAGELEC
47.4708269468, -0.5590079548;"{""type"": ""Point"", ""coordinates"": [-0.559007954799792, 47.4708269468382]}";Sanitaires Publics;Angers Loire Métropole - Direction Environnement Déchets Propreté;61;49007;ORTHOPHOTO;SAGELEC
47.468888741, -0.553739404584;"{""type"": ""Point"", ""coordinates"": [-0.553739404584201, 47.4688887409899]}";Sanitaires Publics;Angers Loire Métropole - Direction Environnement Déchets Propreté;25;49007;ORTHOPHOTO;SAGELEC
47.4710051531, -0.555874760517;"{""type"": ""Point"", ""coordinates"": [-0.555874760517071, 47.4710051531048]}";Sanitaires Publics;Angers Loire Métropole - Direction Environnement Déchets Propreté;81;49007;ORTHOPHOTO;ENTRETIEN DECAUX
47.472640183, -0.557106586772;"{""type"": ""Point"", ""coordinates"": [-0.557106586772301, 47.472640182987]}";Sanitaires Publics;Angers Loire Métropole - Direction Environnement Déchets Propreté;82;49007;ORTHOPHOTO;ENTRETIEN DECAUX
47.4594562153, -0.536982919494;"{""type"": ""Point"", ""coordinates"": [-0.536982919494415, 47.4594562152519]}";Sanitaires Publics;Angers Loire Métropole - Direction Environnement Déchets Propreté;35;49007;ORTHOPHOTO;MDO
47.4649367703, -0.55967372991;"{""type"": ""Point"", ""coordinates"": [-0.559673729910015, 47.4649367702888]}";Sanitaires Publics;Angers Loire Métropole - Direction Environnement Déchets Propreté;37;49007;ORTHOPHOTO;FRANCIOLI
47.451412178, -0.537918343389;"{""type"": ""Point"", ""coordinates"": [-0.537918343388573, 47.4514121779791]}";Sanitaires Publics;Angers Loire Métropole - Direction Environnement Déchets Propreté;48;49007;ORTHOPHOTO;SAGELEC
47.4736387722, -0.5488217018;"{""type"": ""Point"", ""coordinates"": [-0.548821701799771, 47.4736387722132]}";Sanitaire publique;Angers Loire Métropole - Direction Environnement Déchets Propreté;1;007;ORTHOPHOTO;ENTRETIEN DECAUX
47.4708321614, -0.54572479353;"{""type"": ""Point"", ""coordinates"": [-0.545724793529636, 47.4708321613644]}";Sanitaires Publics;Angers Loire Métropole - Direction Environnement Déchets Propreté;83;49007;ORTHOPHOTO;ENTRETIEN DECAUX
47.4701538097, -0.547145916405;"{""type"": ""Point"", ""coordinates"": [-0.547145916404792, 47.4701538097013]}";Sanitaires Publics;Angers Loire Métropole - Direction Environnement Déchets Propreté;84;49007;ORTHOPHOTO;ENTRETIEN DECAUX
47.4867585726, -0.524421603504;"{""type"": ""Point"", ""coordinates"": [-0.524421603503668, 47.4867585725834]}";Sanitaires Publics;Angers Loire Métropole - Direction Environnement Déchets Propreté;26;49007;ORTHOPHOTO;SAGELEC
47.4740384086, -0.5626682242;"{""type"": ""Point"", ""coordinates"": [-0.562668224200304, 47.474038408596]}";Sanitaires Publics;Angers Loire Métropole - Direction Environnement Déchets Propreté;30;49007;ORTHOPHOTO;FRANCIOLI
47.4740437891, -0.576640296762;"{""type"": ""Point"", ""coordinates"": [-0.576640296761565, 47.474043789078]}";Sanitaires Publics;Angers Loire Métropole - Direction Environnement Déchets Propreté;41;49007;ORTHOPHOTO;FRANCIOLI
47.4744757412, -0.529096204088;"{""type"": ""Point"", ""coordinates"": [-0.529096204088462, 47.4744757411607]}";Sanitaires Publics;Angers Loire Métropole - Direction Environnement Déchets Propreté;45;49007;ORTHOPHOTO;FRANCIOLI
47.4751472787, -0.558994981707;"{""type"": ""Point"", ""coordinates"": [-0.558994981707174, 47.4751472787021]}";Sanitaires Publics;Angers Loire Métropole - Direction Environnement Déchets Propreté;28;49007;ORTHOPHOTO;FRANCIOLI
47.4534548932, -0.525976559156;"{""type"": ""Point"", ""coordinates"": [-0.525976559156147, 47.4534548931517]}";Sanitaires Publics;Angers Loire Métropole - Direction Environnement Déchets Propreté;33;49007;ORTHOPHOTO;MDO
47.4598889475, -0.520886903501;"{""type"": ""Point"", ""coordinates"": [-0.520886903501367, 47.4598889474548]}";Sanitaires Publics;Angers Loire Métropole - Direction Environnement Déchets Propreté;34;49007;ORTHOPHOTO;MDO
47.4786384722, -0.544266184287;"{""type"": ""Point"", ""coordinates"": [-0.544266184286542, 47.4786384722492]}";Sanitaires Publics;Angers Loire Métropole - Direction Environnement Déchets Propreté;38;49007;ORTHOPHOTO;SAGELEC
47.4762186371, -0.550212849429;"{""type"": ""Point"", ""coordinates"": [-0.550212849429272, 47.4762186371213]}";Sanitaires Publics;Angers Loire Métropole - Direction Environnement Déchets Propreté;39;49007;ORTHOPHOTO;FRANCIOLI
47.4746977442, -0.585873026234;"{""type"": ""Point"", ""coordinates"": [-0.585873026233941, 47.4746977441779]}";Sanitaires Publics;Angers Loire Métropole - Direction Environnement Déchets Propreté;42;49007;ORTHOPHOTO;SAGELEC
47.4509805187, -0.543917259149;"{""type"": ""Point"", ""coordinates"": [-0.54391725914897, 47.4509805187286]}";Sanitaires Publics;Angers Loire Métropole - Direction Environnement Déchets Propreté;46;49007;ORTHOPHOTO;SAGELEC
47.4754820606, -0.545689594102;"{""type"": ""Point"", ""coordinates"": [-0.545689594101508, 47.475482060649]}";Sanitaires Publics;Angers Loire Métropole - Direction Environnement Déchets Propreté;23;49007;ORTHOPHOTO;SAGELEC
47.4783825051, -0.565272537394;"{""type"": ""Point"", ""coordinates"": [-0.565272537394427, 47.4783825050962]}";Sanitaires Publics;Angers Loire Métropole - Direction Environnement Déchets Propreté;31;49007;ORTHOPHOTO;SAGELEC
47.4684198905, -0.559363258981;"{""type"": ""Point"", ""coordinates"": [-0.559363258980901, 47.468419890488]}";Sanitaires Publics;Angers Loire Métropole - Direction Environnement Déchets Propreté;24;49007;ORTHOPHOTO;SAGELEC
47.4808048278, -0.564125649755;"{""type"": ""Point"", ""coordinates"": [-0.564125649754956, 47.4808048277637]}";Sanitaires Publics;Angers Loire Métropole - Direction Environnement Déchets Propreté;32;49007;ORTHOPHOTO;FRANCIOLI
47.4728871274, -0.554561277849;"{""type"": ""Point"", ""coordinates"": [-0.554561277848629, 47.4728871273516]}";Sanitaires Publics;Angers Loire Métropole - Direction Environnement Déchets Propreté;43;49007;ORTHOPHOTO;FRANCIOLI
47.4488940138, -0.562887208555;"{""type"": ""Point"", ""coordinates"": [-0.562887208555038, 47.4488940137595]}";Sanitaires Publics;Angers Loire Métropole - Direction Environnement Déchets Propreté;47;49007;ORTHOPHOTO;SAGELEC
47.4696758855, -0.545585943635;"{""type"": ""Point"", ""coordinates"": [-0.545585943634901, 47.4696758855285]}";Sanitaires Publics;Angers Loire Métropole - Direction Environnement Déchets Propreté;21;49007;ORTHOPHOTO;SAGELEC
47.4726801671, -0.561727135754;"{""type"": ""Point"", ""coordinates"": [-0.561727135754369, 47.4726801671004]}";Sanitaires Publics;Angers Loire Métropole - Direction Environnement Déchets Propreté;29;49007;ORTHOPHOTO;FRANCIOLI
